n,ecg_data_interp,ecg_signal_quant
851,1.5054028593527,7830
852,1.50370129869933,7821
853,1.49954245438269,7799
854,1.49429204602881,7772
855,1.4885565367955,7742
856,1.48285714285513,7712
857,1.47704469867759,7682
858,1.47212820456556,7656
859,1.46835523016965,7637
860,1.46571428571225,7623
861,1.46339175602131,7611
862,1.46196716975864,7604
863,1.46131569268482,7600
864,1.46123376623173,7600
865,1.46066964744553,7597
866,1.46072322894244,7597
867,1.46160628038128,7602
868,1.46337662337459,7611
869,1.46557459736863,7622
870,1.46838104688719,7637
871,1.47148663838503,7653
872,1.4744805194785,7669
873,1.47607997511534,7677
874,1.47736653998041,7684
875,1.47858306212616,7690
876,1.47993506493305,7697
877,1.48097685074564,7702
878,1.4825703992095,7711
879,1.48480939181394,7722
880,1.48753246753046,7737
881,1.48980404482398,7748
882,1.49194062111744,7760
883,1.49359150862267,7768
884,1.49435064934865,7772
885,1.4930314174884,7765
886,1.49069429838946,7753
887,1.48765217728725,7737
888,1.48422077921876,7719
889,1.48026778350837,7699
890,1.4766410095953,7680
891,1.47367092480544,7664
892,1.47155844155638,7654
893,1.46958755794362,7643
894,1.46905318406485,7640
895,1.47027127913914,7647
896,1.47331168830963,7663
897,1.47750192177979,7684
898,1.48312445642605,7714
899,1.48973740576542,7748
900,1.4966883116863,7784
901,1.50255023134759,7815
902,1.50760144026676,7841
903,1.51147346515556,7861
904,1.5138311688292,7873
905,1.51373453065472,7873
906,1.51206619921021,7864
907,1.50905392205121,7849
908,1.50487012986817,7827
909,1.49899869074477,7796
910,1.49238644400852,7762
911,1.48523720710531,7725
912,1.47759740259542,7685
913,1.46886326307507,7639
914,1.45978136746586,7592
915,1.45054453845708,7544
916,1.4413636363616,7496
917,1.43167368099902,7446
918,1.4231628147276,7402
919,1.4166386394816,7368
920,1.41272727272519,7348
921,1.41128092257984,7340
922,1.41308002389138,7349
923,1.4180163041844,7375
924,1.42558441558236,7414
925,1.43443809920359,7460
926,1.44442461541844,7512
927,1.45477408243923,7566
928,1.46474025973825,7618
929,1.47272363115692,7660
930,1.47989068592942,7697
931,1.48650980748904,7731
932,1.49279220779023,7764
933,1.49863932767483,7794
934,1.50411025286134,7823
935,1.50891957768765,7848
936,1.51266233766036,7867
937,1.51386557040499,7874
938,1.5139563829845,7874
939,1.51332048024351,7871
940,1.51227272727073,7865
941,1.51068513403185,7857
942,1.5090083405855,7848
943,1.5072025783631,7839
944,1.50506493506292,7828
945,1.50151546319907,7809
946,1.49755432246839,7789
947,1.49336717388567,7767
948,1.48909090908888,7745
949,1.48428036490566,7720
950,1.47978804545093,7696
951,1.47584062848429,7676
952,1.47253246753043,7659
953,1.46922232922161,7641
954,1.46676999500352,7629
955,1.46528867554991,7621
956,1.46474025973822,7618
957,1.46420073650986,7615
958,1.46458011925947,7617
959,1.46587097642008,7624
960,1.46785714285513,7634
961,1.46972013660067,7644
962,1.47157077245706,7654
963,1.47302657784067,7661
964,1.47370129869929,7665
965,1.47236241806769,7658
966,1.47038529228481,7647
967,1.4682760237568,7636
968,1.46649350649148,7627
969,1.46501597654418,7619
970,1.46452026603396,7617
971,1.46511359746725,7620
972,1.46668831168627,7628
973,1.4681194638708,7636
974,1.47046107956739,7648
975,1.47378073096718,7665
976,1.47798701298497,7687
977,1.48239452017388,7710
978,1.48730069269226,7735
979,1.4924437739971,7762
980,1.49746753246551,7788
981,1.50116673161532,7807
982,1.50449196692025,7825
983,1.50754333960502,7841
984,1.51032467532266,7855
985,1.51232192078694,7866
986,1.51392621599648,7874
987,1.51501699381667,7880
988,1.51538961038759,7881
989,1.51384238508167,7873
990,1.51175392005694,7863
991,1.50947434080205,7851
992,1.50720779220575,7839
993,1.50478773841468,7826
994,1.50234101936877,7814
995,1.49969999716846,7800
996,1.49668831168624,7784
997,1.49217672796699,7761
998,1.48799738356751,7739
999,1.48497663769394,7723
1000,1.48383116882907,7717
1001,1.48465371346216,7722
1002,1.48811105390341,7740
1003,1.49406800277892,7771
1004,1.50194805194598,7812
1005,1.51022308353031,7855
1006,1.51872571809453,7899
1007,1.52657916717731,7940
1008,1.53292207792007,7973
1009,1.53616303687142,7990
1010,1.53721785754022,7995
1011,1.53630141461379,7990
1012,1.53370129869931,7977
1013,1.52941797591069,7954
1014,1.52411489403158,7927
1015,1.51807694273799,7895
1016,1.51149350649148,7861
1017,1.50343898774992,7819
1018,1.49572166176218,7779
1019,1.48894405804809,7744
1020,1.48344155843951,7715
1021,1.47910396720805,7693
1022,1.47582423157652,7676
1023,1.47315655612066,7662
1024,1.47058441558235,7648
1025,1.46646215621884,7627
1026,1.46254462881158,7607
1027,1.45945286143142,7591
1028,1.45772727272521,7582
1029,1.45759725979162,7581
1030,1.45919526220424,7589
1031,1.46226049307288,7605
1032,1.46629870129664,7626
1033,1.46972719422715,7644
1034,1.4735777633934,7664
1035,1.47789163361021,7686
1036,1.4826623376603,7711
1037,1.48726733894886,7735
1038,1.49234897689193,7762
1039,1.49784918856629,7790
1040,1.50350649350448,7820
1041,1.50835360528767,7845
1042,1.51268745683051,7867
1043,1.5161890738914,7886
1044,1.5185064935045,7898
1045,1.51854273741087,7898
1046,1.51735028601068,7892
1047,1.51523498363381,7881
1048,1.51246753246553,7866
1049,1.50869118723265,7847
1050,1.50483144789699,7827
1051,1.5010925788525,7807
1052,1.49746753246551,7788
1053,1.49320558601662,7766
1054,1.48890784379176,7744
1055,1.48451929933456,7721
1056,1.47993506493304,7697
1057,1.4743834859607,7668
1058,1.46893090360566,7640
1059,1.46397671382975,7614
1060,1.45987012986808,7593
